external_id,title,provider_name,main_category,sub_category,topic_slug,topic_name,candidate_name,suggested_parent_slug,suggested_depth,relevance_score,matched_fields,match_types,is_existing_topic,needs_review,is_auto_link_candidate,evidence_count
af1cea2174ee88ea,리눅스실습,신구대학교,공학,소프트웨어공학,operating-systems,운영체제,,,,0.82,description_body_clean,topic_name,true,false,false,1
af1cea2174ee88ea,리눅스실습,신구대학교,공학,소프트웨어공학,server-basics,서버 기초,,,,0.72,description_body_clean,alias,true,false,false,1
b2e63a58b0069219,강화학습,건양대학교,공학,컴퓨터과학,reinforcement-learning,강화학습,,,,1.0,description_body_clean|title_clean,topic_name,true,false,true,2
b2e63a58b0069219,강화학습,건양대학교,공학,컴퓨터과학,,,탐색,algorithms,3,0.82,description_body_clean,depth3_candidate,false,true,false,1
b2e63a58b0069219,강화학습,건양대학교,공학,컴퓨터과학,algorithms,알고리즘,,,,0.82,description_body_clean,topic_name,true,false,false,1
b2fcd698ff84272f,인공지능기초프로그래밍,목원대학교,공학,컴퓨터공학,artificial-intelligence,인공지능,,,,0.97,title_clean,alias|topic_name,true,false,false,2
b2fcd698ff84272f,인공지능기초프로그래밍,목원대학교,공학,컴퓨터공학,programming,프로그래밍,,,,0.97,title_clean,topic_name,true,false,false,1
b378166c66b80cfc,챗GPT 어디까지 써봤어,울산/경남권역센터,공학,컴퓨터과학,artificial-intelligence,인공지능,,,,0.93,description_keyword_items|description_keywords_raw,alias|topic_name,true,false,false,3
b574bb71edc73433,Language-C,동명대학교,공학,소프트웨어공학,c-language,C언어,,,,1.0,description_keyword_items|description_keywords_raw|title_clean,alias,true,false,true,3
bf2c098f31ab79a7,생활속의 데이터베이스,부산외국어대학교,공학,소프트웨어공학,database,데이터베이스,,,,1.0,description_body_clean|title_clean,topic_name,true,false,false,2
c0edd79113aa1e83,컴퓨터과학과 코딩(심화),국립군산대학교,공학,컴퓨터과학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.9,description_keyword_items|description_keywords_raw,alias,true,false,true,2
c0edd79113aa1e83,컴퓨터과학과 코딩(심화),국립군산대학교,공학,컴퓨터과학,python,Python,,,,0.87,description_body_clean|description_keyword_items|description_keywords_raw,alias,true,false,true,3
c0edd79113aa1e83,컴퓨터과학과 코딩(심화),국립군산대학교,공학,컴퓨터과학,,,자료형,programming-basic-syntax,3,0.82,description_body_clean,depth3_candidate,false,true,false,1
c0edd79113aa1e83,컴퓨터과학과 코딩(심화),국립군산대학교,공학,컴퓨터과학,programming,프로그래밍,,,,0.82,description_body_clean,topic_name,true,false,false,1
